Tanggal Rilis,Judul,Deskripsi,Link,Timestamp
2023-07-26 13:50:00,Developer Lokal Bikin Game RPG Keren Fractals of Destiny,"Satu lagi developer game Indonesia yang punya game berkualitas. Namanya Krakatoa Studios, yang bakal merilis early accsess Fractals of Destiny.",https://inet.detik.com/games-news/d-6842236/developer-lokal-bikin-game-rpg-keren-fractals-of-destiny,2025-03-12 09:41:53
2023-07-03 13:16:00,"19 Game Indonesia Didiskon di Steam Summer Sale 2023, Murah Banget",Valve akhirnya menghadirkan Steam Summer Sale 2023 sejak akhir Juni lalu. Ada sederet karya developer asal Indonesia yang dibanderol dengan harga murah.,https://inet.detik.com/games-news/d-6803262/19-game-indonesia-didiskon-di-steam-summer-sale-2023-murah-banget,2025-03-12 09:41:53
2023-06-08 10:45:00,Game RPG Indonesia Valthirian Arc: Hero School Story 2 Rilis Juni 2023,"Developer kondang asal Indonesia, Agate, akan merilis game role playing game (RPG) terbarunya Valthirian Arc: Hero School Story 2. Hadir tanggal 22 Juni 2023.",https://inet.detik.com/games-news/d-6761182/game-rpg-indonesia-valthirian-arc-hero-school-story-2-rilis-juni-2023,2025-03-12 09:41:53
2023-05-29 09:46:00,"Ekspansi ke Asia Tenggara, Lokapala Targetkan Pendapatan Rp 2 Triliun",Game lokal besutan Anantarupa Studios bertajuk Lokapala melakukan ekspansi ke Asia Tenggara. Mereka menargetkan bisa meraup pendapatan hingga triliunan rupiah.,https://inet.detik.com/games-news/d-6744057/ekspansi-ke-asia-tenggara-lokapala-targetkan-pendapatan-rp-2-triliun,2025-03-12 09:41:53
2023-05-25 13:44:00,Game Lokal Lokapala Bakal Ekspansi ke Asia Tenggara,"Game multiplayer online battle arena (MOBA) karya anak bangsa, yakni Lokapala, bakal melebarkan sayapnya ke beberapa negara di Asia Tenggara.",https://inet.detik.com/games-news/d-6738150/game-lokal-lokapala-bakal-ekspansi-ke-asia-tenggara,2025-03-12 09:41:53
2023-05-16 14:15:00,Game Lokal 'Hello Goodboy' Segera Rilis di Steam dan Switch,"Industri game semakin berkembang, developer lokal tidak ingin ketinggalan. Satu lagi game terbaru Tanah Air yang bakal rilis tahun ini, bertajuk Hello Goodboy.",https://inet.detik.com/games-news/d-6723090/game-lokal-hello-goodboy-segera-rilis-di-steam-dan-switch,2025-03-12 09:41:58
2023-04-26 11:30:00,"Game Lokal Coffee Talk Episode 2 Rilis di Steam, PS4, dan PS5","Toge Productions akhirnya merilis game baru, Coffee Talk Episode 2: Hibiscus & Butterfly. Gamer di Tanah Air bisa menikmatinya di berbagai macam platform.",https://inet.detik.com/games-news/d-6690277/game-lokal-coffee-talk-episode-2-rilis-di-steam-ps4-dan-ps5,2025-03-12 09:41:58
2023-04-03 18:51:00,"11 Developer Game RI Unjuk Gigi di AS, Potensi Bisnis Rp 382 M","Sukses tampil di San Francisco, sebelas developer game Indonesia raih potensi transaksi bisnis lebih dari USD 25,5 juta atau sekitar Rp 382 miliar.",https://inet.detik.com/games-news/d-6653697/11-developer-game-ri-unjuk-gigi-di-as-potensi-bisnis-rp-382-m,2025-03-12 09:41:58
2023-04-03 10:15:00,"Game Tanah Air 'Troublemaker' Resmi Rilis, Diskon 20% di Steam","Gamecom Team dan Freedom Games, akhirnya merilis game baru mereka Troublemaker. Saat ini sedang diskon 20% di Steam, sehingga harganya menjadi Rp 108 ribu.",https://inet.detik.com/games-news/d-6652341/game-tanah-air-troublemaker-resmi-rilis-diskon-20-di-steam,2025-03-12 09:41:58
2023-03-22 11:03:00,"Curhat Pengembang Game: Dapat Award, Eh Pialanya Kena Pajak","Toge Productions, developer game Indonesia, menang award Flash Game Summit di San Francisco. Tapi saat piala dikirim ke Indonesia malah kena pajak Bea Cukai.",https://inet.detik.com/games-news/d-6632183/curhat-pengembang-game-dapat-award-eh-pialanya-kena-pajak,2025-03-12 09:41:58
